Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,9.463960,9.496310,9.445310,9.462310,9.462310,0
2020-12-29,9.474100,9.515800,9.474100,9.475300,9.475300,0
2020-12-30,9.500100,9.541750,9.498500,9.500080,9.500080,0
2020-12-31,9.533670,9.541940,9.475890,9.534870,9.534870,0
2021-01-01,9.436100,9.441500,9.402200,9.435800,9.435800,0
2021-01-04,9.495710,9.541550,9.488410,9.497030,9.497030,0
2021-01-05,9.499040,9.531890,9.494900,9.497100,9.497100,0
2021-01-06,9.533300,9.573470,9.510080,9.535570,9.535570,0
2021-01-07,9.564570,9.569700,9.493920,9.566050,9.566050,0
2021-01-08,9.511360,9.522470,9.469300,9.511100,9.511100,0
2021-01-11,9.450100,9.458670,9.410690,9.449120,9.449120,0
2021-01-12,9.430390,9.442960,9.411300,9.430160,9.430160,0
2021-01-13,9.466650,9.476660,9.423490,9.466350,9.466350,0
2021-01-14,9.428910,9.436200,9.390500,9.429170,9.429170,0
2021-01-15,9.420230,9.428850,9.368400,9.420400,9.420400,0
2021-01-18,9.355380,9.369770,9.346080,9.356000,9.356000,0
2021-01-19,9.363890,9.414410,9.363890,9.362400,9.362400,0
2021-01-20,9.409900,9.423580,9.361200,9.408300,9.408300,0
2021-01-21,9.389560,9.434610,9.385100,9.390890,9.390890,0
2021-01-22,9.428500,9.446570,9.418300,9.430100,9.430100,0
2021-01-25,9.431860,9.443070,9.390300,9.432670,9.432670,0
2021-01-26,9.411330,9.437360,9.384790,9.411200,9.411200,0
2021-01-27,9.428030,9.433170,9.349980,9.427900,9.427900,0
2021-01-28,9.380000,9.412880,9.363800,9.380000,9.380000,0
2021-01-29,9.396600,9.423020,9.373800,9.393300,9.393300,0
2021-02-01,9.395700,9.407890,9.352400,9.398700,9.398700,0
2021-02-02,9.353600,9.371070,9.313900,9.355720,9.355720,0
2021-02-03,9.331260,9.340060,9.303900,9.331190,9.331190,0
2021-02-04,9.333360,9.334060,9.276300,9.332210,9.332210,0
2021-02-05,9.276140,9.332810,9.264800,9.275400,9.275400,0
2021-02-08,9.340600,9.351730,9.316600,9.340160,9.340160,0
2021-02-09,9.341850,9.390460,9.339100,9.342630,9.342630,0
2021-02-10,9.392130,9.413380,9.384300,9.392180,9.392180,0
2021-02-11,9.393940,9.416990,9.389700,9.393930,9.393930,0
2021-02-12,9.403520,9.405960,9.365300,9.404090,9.404090,0
2021-02-15,9.396110,9.414950,9.393330,9.396930,9.396930,0
2021-02-16,9.405250,9.433360,9.376920,9.403100,9.403100,0
2021-02-17,9.370760,9.378360,9.321100,9.373870,9.373870,0
2021-02-18,9.337820,9.371260,9.328300,9.337200,9.337200,0
2021-02-19,9.373640,9.415200,9.365300,9.373530,9.373530,0
2021-02-22,9.399020,9.423230,9.373900,9.400860,9.400860,0
2021-02-23,9.431120,9.440730,9.409650,9.430600,9.430600,0
2021-02-24,9.421470,9.440070,9.391210,9.421790,9.421790,0
2021-02-25,9.436440,9.490750,9.425880,9.435900,9.435900,0
2021-02-26,9.428240,9.445580,9.378600,9.428420,9.428420,0
2021-03-01,9.377480,9.385780,9.330400,9.376370,9.376370,0
2021-03-02,9.342600,9.370710,9.300600,9.342800,9.342800,0
2021-03-03,9.373400,9.392680,9.340800,9.373400,9.373400,0
2021-03-04,9.342900,9.357400,9.326500,9.344700,9.344700,0
2021-03-05,9.286130,9.286540,9.236940,9.285490,9.285490,0
2021-03-08,9.257260,9.262700,9.204100,9.258350,9.258350,0
2021-03-09,9.207240,9.249400,9.193400,9.207030,9.207030,0
2021-03-10,9.232500,9.255120,9.214800,9.234300,9.234300,0
2021-03-11,9.253900,9.294150,9.247600,9.254750,9.254750,0
2021-03-12,9.295090,9.300100,9.245160,9.295000,9.295000,0
2021-03-15,9.276550,9.286700,9.249310,9.275510,9.275510,0
2021-03-16,9.260110,9.281500,9.228700,9.258180,9.258180,0
2021-03-17,9.240600,9.253820,9.231300,9.240800,9.240800,0
2021-03-18,9.302460,9.308040,9.246300,9.304120,9.304120,0
2021-03-19,9.250900,9.269520,9.222500,9.253800,9.253800,0
2021-03-22,9.228790,9.270080,9.221150,9.227100,9.227100,0
2021-03-23,9.266710,9.271100,9.214600,9.266860,9.266860,0
2021-03-24,9.196360,9.205150,9.177390,9.195350,9.195350,0
2021-03-25,9.176740,9.187620,9.146100,9.176670,9.176670,0
2021-03-26,9.147640,9.169280,9.145000,9.148080,9.148080,0
2021-03-29,9.157120,9.167900,9.139800,9.157220,9.157220,0
2021-03-30,9.145600,9.151810,9.106360,9.146300,9.146300,0
2021-03-31,9.114300,9.140690,9.098100,9.115100,9.115100,0
2021-04-01,9.118070,9.155530,9.104400,9.116500,9.116500,0
2021-04-02,9.157400,9.163190,9.136770,9.157180,9.157180,0
2021-04-05,9.149060,9.186120,9.125700,9.150500,9.150500,0
2021-04-06,9.188700,9.216690,9.172910,9.187100,9.187100,0
2021-04-07,9.233690,9.273730,9.228800,9.232680,9.232680,0
2021-04-08,9.241330,9.262440,9.223300,9.241960,9.241960,0
2021-04-09,9.265760,9.270700,9.229900,9.266230,9.266230,0
2021-04-12,9.251780,9.265910,9.232300,9.254270,9.254270,0
2021-04-13,9.259880,9.288740,9.237730,9.260020,9.260020,0
2021-04-14,9.291600,9.302410,9.280500,9.290200,9.290200,0
2021-04-15,9.303200,9.314870,9.287200,9.304980,9.304980,0
2021-04-16,9.297110,9.321450,9.282100,9.295650,9.295650,0
2021-04-19,9.300070,9.356870,9.280040,9.300910,9.300910,0
2021-04-20,9.350000,9.379710,9.336900,9.351430,9.351430,0
2021-04-21,9.338440,9.347210,9.314150,9.338900,9.338900,0
2021-04-22,9.344340,9.364300,9.313910,9.342000,9.342000,0
2021-04-23,9.324030,9.371500,9.320840,9.321560,9.321560,0
2021-04-26,9.381740,9.401040,9.360200,9.382030,9.382030,0
2021-04-27,9.373560,9.383240,9.357900,9.375500,9.375500,0
2021-04-28,9.382500,9.394690,9.358840,9.383680,9.383680,0
2021-04-29,9.418500,9.429430,9.396460,9.418400,9.418400,0
2021-04-30,9.412360,9.413580,9.337100,9.412490,9.412490,0
2021-05-03,9.339160,9.378260,9.329400,9.339000,9.339000,0
2021-05-04,9.364100,9.365500,9.318300,9.364000,9.364000,0
2021-05-05,9.331000,9.341150,9.309400,9.333000,9.333000,0
2021-05-06,9.329450,9.375580,9.317550,9.328960,9.328960,0
2021-05-07,9.372500,9.446990,9.359800,9.370400,9.370400,0
2021-05-10,9.447850,9.454980,9.424700,9.450680,9.450680,0
2021-05-11,9.428200,9.459640,9.414300,9.427360,9.427360,0
2021-05-12,9.434200,9.436580,9.371480,9.433590,9.433590,0
2021-05-13,9.378590,9.401490,9.361500,9.379600,9.379600,0
2021-05-14,9.379000,9.433380,9.374900,9.380600,9.380600,0
2021-05-17,9.434500,9.450820,9.417000,9.435800,9.435800,0
2021-05-18,9.439300,9.497770,9.438160,9.440580,9.440580,0
2021-05-19,9.490750,9.506490,9.465470,9.490100,9.490100,0
2021-05-20,9.450300,9.491060,9.449400,9.449680,9.449680,0
2021-05-21,9.487500,9.501530,9.450400,9.489090,9.489090,0
2021-05-24,9.456750,9.495780,9.452000,9.457370,9.457370,0
2021-05-25,9.482700,9.520280,9.480100,9.482960,9.482960,0
2021-05-26,9.506350,9.517900,9.469170,9.506200,9.506200,0
2021-05-27,9.462200,9.478100,9.449400,9.464120,9.464120,0
2021-05-28,9.461300,9.467590,9.416690,9.461600,9.461600,0
2021-05-31,9.460950,9.491740,9.454700,9.461000,9.461000,0
2021-06-01,9.494090,9.506560,9.476380,9.491900,9.491900,0
2021-06-02,9.479760,9.486300,9.438100,9.478800,9.478800,0
2021-06-03,9.470900,9.476010,9.401100,9.471000,9.471000,0
2021-06-04,9.411170,9.449900,9.388600,9.409940,9.409940,0
2021-06-07,9.435900,9.464900,9.418800,9.435900,9.435900,0
2021-06-08,9.457540,9.460620,9.438500,9.458740,9.458740,0
2021-06-09,9.443130,9.478340,9.443130,9.443930,9.443930,0
2021-06-10,9.447900,9.459810,9.423290,9.448800,9.448800,0
2021-06-11,9.446220,9.460140,9.384620,9.445810,9.445810,0
2021-06-14,9.399110,9.414100,9.386300,9.398490,9.398490,0
2021-06-15,9.408600,9.427710,9.394640,9.407000,9.407000,0
2021-06-16,9.412100,9.418080,9.398600,9.411600,9.411600,0
2021-06-17,9.308650,9.321500,9.242700,9.311540,9.311540,0
2021-06-18,9.249180,9.257480,9.197890,9.249280,9.249280,0
2021-06-21,9.214730,9.255080,9.198200,9.215000,9.215000,0
2021-06-22,9.248000,9.250880,9.225990,9.249060,9.249060,0
2021-06-23,9.269200,9.294710,9.252000,9.269730,9.269730,0
2021-06-24,9.263960,9.282970,9.254600,9.263070,9.263070,0
2021-06-25,9.258870,9.292930,9.257900,9.259370,9.259370,0
2021-06-28,9.268660,9.270280,9.240870,9.268040,9.268040,0
2021-06-29,9.258800,9.259640,9.222930,9.259220,9.259220,0
2021-06-30,9.237750,9.246580,9.198600,9.238420,9.238420,0
2021-07-01,9.204440,9.226140,9.190100,9.205040,9.205040,0
2021-07-02,9.199310,9.209550,9.177500,9.199060,9.199060,0
2021-07-05,9.205760,9.228160,9.202300,9.206120,9.206120,0
2021-07-06,9.211600,9.238530,9.175790,9.213200,9.213200,0
2021-07-07,9.179920,9.191730,9.152680,9.179700,9.179700,0
2021-07-08,9.160380,9.217190,9.152950,9.159720,9.159720,0
2021-07-09,9.201400,9.222500,9.183900,9.201480,9.201480,0
2021-07-12,9.219900,9.227250,9.191400,9.219200,9.219200,0
2021-07-13,9.213650,9.221950,9.157540,9.211800,9.211800,0
2021-07-14,9.143530,9.185940,9.140700,9.144170,9.144170,0
2021-07-15,9.189370,9.204660,9.168000,9.188300,9.188300,0
2021-07-16,9.175360,9.182810,9.159300,9.172900,9.172900,0
2021-07-19,9.174520,9.185730,9.139710,9.175630,9.175630,0
2021-07-20,9.162980,9.172730,9.136800,9.162960,9.162960,0
2021-07-21,9.156780,9.174670,9.136700,9.156460,9.156460,0
2021-07-22,9.165400,9.191670,9.141590,9.164860,9.164860,0
2021-07-23,9.148410,9.157800,9.132230,9.147860,9.147860,0
2021-07-26,9.145690,9.189450,9.139200,9.144500,9.144500,0
2021-07-27,9.181400,9.211710,9.160600,9.182300,9.182300,0
2021-07-28,9.199590,9.204330,9.169220,9.199440,9.199440,0
2021-07-29,9.216720,9.240760,9.208300,9.216200,9.216200,0
2021-07-30,9.238970,9.254100,9.212790,9.237200,9.237200,0
2021-08-02,9.220880,9.249020,9.218500,9.221960,9.221960,0
2021-08-03,9.230360,9.249220,9.219300,9.230090,9.230090,0
2021-08-04,9.230500,9.253120,9.200000,9.230620,9.230620,0
2021-08-05,9.202000,9.219480,9.198600,9.201900,9.201900,0
2021-08-06,9.201450,9.201630,9.141800,9.201780,9.201780,0
2021-08-09,9.138900,9.157030,9.134920,9.139350,9.139350,0
2021-08-10,9.133270,9.139120,9.111900,9.132900,9.132900,0
2021-08-11,9.118280,9.138650,9.107200,9.118530,9.118530,0
2021-08-12,9.131400,9.140490,9.120200,9.132200,9.132200,0
2021-08-13,9.131880,9.183800,9.128200,9.131790,9.131790,0
2021-08-16,9.179540,9.184100,9.160620,9.176200,9.176200,0
2021-08-17,9.167290,9.178500,9.123290,9.166960,9.166960,0
2021-08-18,9.123360,9.134810,9.107970,9.123380,9.123380,0
2021-08-19,9.114190,9.116610,9.088100,9.113770,9.113770,0
2021-08-20,9.094840,9.105910,9.085900,9.093800,9.093800,0
2021-08-23,9.114170,9.149700,9.109200,9.112220,9.112220,0
2021-08-24,9.150200,9.163500,9.133700,9.149100,9.149100,0
2021-08-25,9.154250,9.156490,9.127600,9.152490,9.152490,0
2021-08-26,9.161650,9.171070,9.146900,9.162420,9.162420,0
2021-08-27,9.151520,9.191380,9.142300,9.152330,9.152330,0
2021-08-30,9.188300,9.197340,9.176300,9.187140,9.187140,0
2021-08-31,9.185050,9.215710,9.174300,9.185130,9.185130,0
2021-09-01,9.185300,9.218940,9.170100,9.185220,9.185220,0
2021-09-02,9.208700,9.223410,9.201200,9.207100,9.207100,0
2021-09-03,9.226810,9.253910,9.221600,9.226910,9.226910,0
2021-09-06,9.236100,9.236400,9.215200,9.235820,9.235820,0
2021-09-07,9.230170,9.237880,9.201000,9.229960,9.229960,0
2021-09-08,9.206000,9.212780,9.176900,9.206300,9.206300,0
2021-09-09,9.186200,9.208080,9.182210,9.188700,9.188700,0
2021-09-10,9.196100,9.214340,9.190890,9.195240,9.195240,0
2021-09-13,9.186860,9.192970,9.154900,9.186570,9.186570,0
2021-09-14,9.187290,9.213130,9.179300,9.186400,9.186400,0
2021-09-15,9.179500,9.206390,9.178130,9.180900,9.180900,0
2021-09-16,9.197540,9.198060,9.146400,9.196180,9.196180,0
2021-09-17,9.157100,9.174790,9.124900,9.156110,9.156110,0
2021-09-20,9.126050,9.137980,9.108500,9.127270,9.127270,0
2021-09-21,9.128200,9.146200,9.119500,9.131190,9.131190,0
